composite_rank,composite_score,source_type,opportunity_name,edition_or_route,location,mode,event_start_date,cfp_status,deadline_date,primary_talk_id,primary_talk,backup_talk_id,topic_fit,known_points,evidence_coverage_percent,effective_fit_score,fit_penalty,location_preference,location_basis,application_ease,ease_basis,popularity_score,popularity_basis,timing_score,timing_basis,application_route,next_action,constraints_unknowns,source_url
87,2.76,conference/event,FinOPS Chicago,FinOPS Chicago rolling meetup route,"Chicago, USA",in-person or online,,unknown,,free-tier,Cry Me a Free Tier,,Only prior event is almost exact topical evidence and was online.,68.0,50.0,34.0,3.64,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,4,"Announced, undated, or route status still needs confirmation.",Message organizer; no formal CFP found,Monitor for a second event and dated speaker invitation.,"Very small and nascent; no explicit speaker route or next event | Nascent group; no explicit speaker route, next event, format, or economics",https://www.meetup.com/finops-chicago/
88,2.785,conference/event,ICAI Annual Conference,ICAI 2027 Annual Conference,"Monterrey, Mexico",in-person,2027-02-25,open,2026-09-18,evidence-learning,"Outsmart Your Lying, Cheating Students",,"Exact audience, AI theme, and 40-minute format align unusually well; current program language already questions detection-first approaches.",89.0,86.0,76.5,1.94,4,Canada or Mexico: feasible but outside the preferred domestic list.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,1,Confirmed deadline in 13 days.,Theme area; title; proposal; learning outcomes; no more than two submissions bearing one person's name and only one lead program,Draft the 40-minute AI-theme proposal before September 18 and separately verify presenter registration and travel obligations.,"FINALIST; in-person Monterrey required; no more than two submissions; travel/economics unknown | Compensation, travel support, registration cost, rights, accessibility, and Dan's travel willingness are unknown.",https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp
89,2.785,conference/event,Observability Day Europe,Observability Day Europe 2027,"Barcelona, Spain",in-person,2027-03-15,open,2026-10-18,benchmarks,Stop Looking at My Benchmarks,,"Observability practitioners are a strong fit for measurement, uncertainty, failure slicing, and operational feedback",96.0,90.0,86.4,1.54,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,2,Confirmed deadline in 43 days.,Proposal through common co-located CFP,Differentiate from any main KubeCon proposal and verify multi-proposal rules,"Requires a 25-minute cut and vendor-neutral/open-source framing; repeat rules apply | Travel, compensation, accessibility, and multi-proposal interaction unknown",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
90,2.785,conference/event,AOmA / Adaptive Organizations meet Architecture,AOmA 2027,"Berlin, Germany",in-person,2027-04-06,open,2026-10-23,adaptive-systems,Building Adaptive & Dynamic AI Systems,retrieval,"Exact format match; CFP explicitly requests building architectures for AI, dangers/pitfalls, and adaptive decision-making.",96.0,90.0,86.4,1.54,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 48 days.,"Title, abstract, introductory/deep-dive type, tags, name, title, bio, photo, email",Prepare the existing 40-minute abstract for Sessionize and verify the official deadline banner immediately before any user-authorized submission.,"One session per concept is actively curated; must connect system adaptation to organizational decision rights; official/LinkedIn deadline conflict. | Travel cap by region, honorarium, visa support, speaker costs, and recording rights unknown; official page conflicts with later LinkedIn deadline claim. | Travel cap, honorarium, pass, rights, and whether talk has enough organizational/architecture emphasis | MERGE CONFLICTS/VARIANTS — edition_url: https://aoma-conference.com/2027/ | https://aoma-conference.com/; eligibility: Public Sessionize CFP | unknown; formats_and_durations: 40 minutes including Q&A; mixture of lecture and hands-on favored | 40 minutes including Q&A; introductory or deep-dive; submission_requirements: Title, abstract, introductory/deep-dive type, tags, name, title, bio, photo, email | Title, abstract, type, tags, name, title, bio, photo, email; English; compensation: Accommodation reimbursed up to EUR 300 for speakers outside Berlin | unknown; travel_support: Accommodation up to EUR300 outside Berlin; travel covered up to an unspecified location-based amount | Travel covered up to an amount depending on origin region; recording_rights: Recording rights not stated | unknown; accessibility: Organizer invites disclosure of access/parenting needs and offers discussion | Organizer offers to discuss accessibility and parent needs; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://aoma-conference.com/2027/cfp/
91,2.795,community/meetup,AI Tinkerers San Francisco,Preferred US cities,San Francisco; in person,in-person,2026-09-12,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, and Failure as live systems",82,80,65.6,2.38,1,Exact preferred city.,5,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Public organizer/platform signal of at least 266.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Apply through each event's demo form. Typical slots are five minutes, implementation-first, no deck, and no product pitch. Chapter · proposal example",Review the public route and decide whether to prepare the indicated talk or demo format.,"Next ordinary demo night, proposal opening, travel-speaker policy, and acceptance timing.",https://sf.aitinkerers.org/
92,2.795,community/meetup,CITA 2027 Annual Conference,Denver/Colorado,Denver; in person,in-person,2027-05-22,public form/contact route,,retrieval,From RAGs to Retrievals,,"Retrieval or Education through translation, language access, multilingual AI, and human judgment",82,80,65.6,2.38,1,Exact preferred city.,5,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Public proposal form is linked from the official call; submissions are open 2026-09-01 through 2026-11-21,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://citacolorado.org/events/call_proposals_conf-2027/
93,2.795,community/meetup,AI Tinkerers Berlin,Overseas from March 2027,"Berlin, Germany; in person",in-person,,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"AS, FI, RT, BM, PA, technical JU",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,320.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Public “Submit Your Talk Proposal” / demo route on event pages,Review the public route and decide whether to prepare the indicated talk or demo format.,"Proposal expects a technical walkthrough and project/company details. Future date, slot length beyond demo wording and economics unknown. Berlin event, route and stats",https://berlin.aitinkerers.org/p/ai-tinkerers-berlin-june-17-2026
94,2.808,conference/event,AI Festival,AI Festival 2027,"Milan, Italy",in-person,2027-02-11,open,2026-10-15,judgment,Code Is Cheap. Judgment Is Expensive.,product-engineering,Large AI/business audience and open call; engineering-leadership density is uncertain.,77.0,90.0,69.3,2.23,5,Overseas before the stated six-month travel window.,2,Standard public proposal or organizer route with no hard requirement found.,5,"Public organizer/platform signal of at least 10,000 members, registrations, attendees, or reach.",2,Confirmed deadline in 40 days.,"Title, description, professional details and future-challenge category.",Select a strategic future-of-work format and submit the 15-minute version by October 15 after verifying duration.,"Language, duration and economics unknown; avoid headcount-reduction predictions or unsupported productivity claims. | Language, economics, rights, accessibility and exact format unknown.",https://en.aifestival.it/call/speaker/
95,2.815,conference/event,SaaStock USA / AI Growth Summit,AI Growth Summit USA 2027,"San Francisco, USA",in-person,2027-09-06,invitation-only-or-unknown,,free-tier,Cry Me a Free Tier,,Audience fit is direct but route evidence is weak.,67.0,65.0,43.5,3.26,1,Exact preferred city.,5,No ordinary public speaking route is currently verified.,4,"Public organizer/platform signal of at least 3,000.",4,"Announced, undated, or route status still needs confirmation.",unknown,Monitor for a public editorial application.,No public editorial speaker route; acquisition/rebrand; sponsor-first page | No public editorial speaker application found after acquisition; only sponsorship contact was prominent,https://saastock.com/
96,2.835,conference/event,ASTE Educational Technology Conference,ASTE 2027,"Anchorage, USA",in-person,2027-02-13,open,2026-09-30,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Event calls for honest discussion of what works in Alaskan classrooms and has AI, student impact, administration, and college/career strands",80.0,83.0,66.4,2.34,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,2,Confirmed deadline in 25 days.,Rolling review across six strands; practical classroom/school/district takeaways emphasized,Confirm external-speaker eligibility and travel willingness before the 2026-09-30 deadline,"Local relevance is important; non-Alaska eligibility and Dan's K-12 experience are unknown; travel likely material | Non-Alaska eligibility, proposal details, speaker economics, rights, and Dan's K-12 credentials are unknown",https://cfp.sched.com/
97,2.845,community/meetup,Denver Dev Day,Denver/Colorado,"Red Rocks Community College, Lakewood; annual, in person",in-person,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Adaptive, Retrieval, Parallelization, Benchmarks, Failure, Free tier, and Judgment",82,80,65.6,2.38,2,Near a preferred city or within the Denver/Front Range area.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,1,Little public popularity evidence beyond the event or route itself.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,2026 CFP closed; monitor the official site and Sessionize archive. The Meetup also exposes organizer messaging.,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://denverdevday.com/
98,2.845,conference/event,AALHE Annual Conference,AALHE 2027 Conference,"Milwaukee, United States",in-person,2027-06-14,unknown,,evidence-learning,"Outsmart Your Lying, Cheating Students",,"This is the most exact assessment audience, and the 2026 program already featured closely adjacent sessions; current CFP route is not published.",82.0,86.0,70.5,2.18,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,4,"Announced, undated, or route status still needs confirmation.",CFP window mentioned but not published on reviewed official page,Monitor the official conference page weekly through January; do not treat the grant deadline as the CFP deadline.,"FINALIST incomplete lead; no 2027 CFP/status/deadline found; in-person; eligibility and price unknown | No 2027 CFP dates/status or proposal form found; economics, rights, and accessibility incomplete.",https://www.aalhe.org/annual-conference
99,2.845,community/meetup,AI Tinkerers London,Overseas from March 2027,"London, UK; in person",in-person,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA; only if converted into a live technical demo",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 5,712 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Event-specific “Submit Your Demo Proposal”; typically five-minute, no-slide, no-pitch demos",Review the public route and decide whether to prepare the indicated talk or demo format.,"Full 15/40-minute talks do not fit without a working demo and sharp cut; future date, travel and speaker economics unknown. London community and stats, speaker-form example",https://london.aitinkerers.org/p/ai-tinkerers-x-mongodb-demopalooza
100,2.845,community/meetup,AI Tinkerers Toronto,Overseas from March 2027,"Toronto, Canada; in person",in-person,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA; demo-driven JU",82,80,65.6,2.38,4,Canada or Mexico: feasible but outside the preferred domestic list.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 5,376 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Event-specific “Submit Your Demo Proposal,” normally six-minute work-in-progress demo",Review the public route and decide whether to prepare the indicated talk or demo format.,"Strict short-demo format; working technical artifact required. Future date, expenses and selection lead time unknown. Toronto stats and April event, demo form example",https://toronto.aitinkerers.org/p/ai-tinkerers-toronto-april-2026-hosted-by-shopify
101,2.85,conference/event,expo:QA,expo:QA 2027,"Madrid, Spain",in-person,2027-05-25,open,2026-10-11,benchmarks,Stop Looking at My Benchmarks,failure-improvement,"The 2027 theme explicitly asks for testing and validating AI systems, measuring quality in AI-driven development, and trustworthy AI software",89.0,90.0,80.1,1.8,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,2,Confirmed deadline in 36 days.,Topic and abstract aligned to 'Reinventing Quality in the Age of AI.',Verify speaker entitlements and tailor the existing 40-minute deck to quality engineering,"Must ground examples as illustrative unless real deployments are supplied; economics unknown | Venue, talk durations, speaker economics, rights, accessibility, and language policy unknown | Language, durations, economics, rights, accessibility, attendance, eligibility and multiple-proposal rules unknown. | MERGE CONFLICTS/VARIANTS — edition_label: expo:QA 2027 | EXPOQA 2027; date_status: exact | confirmed; eligibility: Public call for speakers. | Practical experience, lessons, innovative ideas, or case studies; formats_and_durations: Regular talk; master class; keynote; half-day workshop; exact durations not published on captured page. | Half-day workshop; keynote; regular talk; master class; submission_requirements: Topic and abstract aligned to 'Reinventing Quality in the Age of AI.' | Proposal through Typeform; verified_at: 2026-09-04T23:45:00-06:00 | 2026-09-04T23:00:00-06:00",https://expoqa.com/call-for-speaker/
102,2.858,conference/event,Cloud Native AI + Inference Day Europe,Cloud Native AI + Inference Day Europe 2027,"Barcelona, Spain",in-person,2027-03-15,open,2026-10-18,retrieval,From RAGs to Retrievals,adaptive-systems,Event topics explicitly include RAG and AI agents and target production AI/ML.,90.0,88.0,79.2,1.83,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,2,Confirmed deadline in 43 days.,Choose co-located event; vendor-neutral; repeat restrictions; recording sample requested,Adapt slides 4–10 into the core and use agent context/tool boundaries as the closing application.,"FINALIST; 25-minute slot; must add cloud-native production evidence and avoid broad glossary framing | Travel/hotel support, honorarium, visa support, and exact recording license are unknown; 25-minute adaptation required. | Travel, hotel, honorarium, detailed form fields, reuse rules | MERGE CONFLICTS/VARIANTS — cfp_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cncf-hosted-co-located-events-overview/ | https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/; guidelines_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/ | https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/; eligibility: Public CFP; code-of-conduct agreement | unknown; formats_and_durations: 25-minute solo/dual presentation; 10-minute lightning; 35-minute panel | 25-minute presentation; 10-minute lightning; 35-minute panel; submission_requirements: Choose co-located event; vendor-neutral; repeat restrictions; recording sample requested | RAG and AI Agents are explicit topics; panel diversity/organization rules apply; compensation: Complimentary all-access pass | unknown; speaker_costs: Accepted co-located-event speakers receive an all-access pass | No mandatory registration stated for accepted speakers; recording_rights: Recorded and posted to CNCF YouTube; exact license not stated | recorded and published on CNCF YouTube; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cncf-hosted-co-located-events-overview/
103,2.86,conference/event,USDLA National Conference,USDLA 2027 National Conference,"Cleveland, United States",hybrid,2027-06-21,open,2026-12-15,skeptic-education,A Skeptic's Guide to Surviving AI in Education,evidence-learning,"AI in education is a named priority; audience spans higher ed, K-12, and workplace learning; exact 45-minute format matches existing package",94.0,100.0,94.0,1.24,3,Other domestic location.,3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 101 days.,10-word title; 200-word abstract; detailed description; objectives; engagement plan; bio; no sales pitch,Choose onsite versus virtual only after budget preference is supplied; draft the detailed engagement plan before 2026-12-15,"Presenter fee USD 300 onsite or USD 100 virtual; travel origin and budget unknown | Virtual component dates remain TBD; compensation, travel support, rights, and accessibility are unknown. | Virtual dates, compensation, travel support, recording rights, accessibility, and Dan's preferred mode/budget unknown | MERGE CONFLICTS/VARIANTS — edition_url: https://usdla.org/events/national-conference/ | https://usdla.org/events/call-for-proposals/; country: United States | USA; eligibility: Open across higher education, K-12, corporate, government, military, and telehealth; first-time speakers encouraged | Open to practitioners across multiple education and training sectors; first-time speakers encouraged; formats_and_durations: 45-minute concurrent; extended time may be requested; onsite or virtual | 45-minute concurrent session; onsite or virtual component; submission_requirements: 10-word title; 200-word abstract; detailed description; objectives; engagement plan; bio; no sales pitch | Detailed description, learning objectives, takeaways, and engagement plan; multiple proposals allowed; compensation: Not stated | unknown; travel_support: Not stated | unknown; speaker_costs: Presenter registration USD 300 onsite or USD 100 virtual; full-conference registration required | $300 onsite presenter registration; $100 virtual presenter fee; recording_rights: Abstracts published in program | unknown; attendance_value: Cross-sector distance-learning audience; attendance not verified | Cross-sector national distance-learning audience; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:00:00-06:00",https://usdla.org/events/call-for-proposals/
104,2.872,conference/event,Quality Land,Quality Land 2027,"Vilnius, Lithuania",in-person,,open-undated,,benchmarks,Stop Looking at My Benchmarks,failure-improvement,"Explicit QA, automation, AI-in-testing and quality-engineering call; small regional room supports a focused discussion",73.0,79.0,57.7,2.69,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,2,Public organizer/platform signal of at least 300.,3,Open or rolling route without a confirmed actionable deadline.,Pitch via public contact; formal requirements not published.,Ask no questions yet; first prepare a short fit note and monitor page for terms,"Exact date, deadline, duration and economics absent; email proposal route only | Exact May dates, venue, deadline, language, speaker terms, rights, and accessibility unknown | Exact May 2027 date, deadline, language, format, economics, rights, accessibility and selection rules unknown. | MERGE CONFLICTS/VARIANTS — date_status: tentative month only | month-confirmed; cfp_url: https://qualityland.lt/ | mailto:signal@qualityland.lt; cfp_status: open-undated | open; submission_requirements: Pitch via public contact; formal requirements not published. | Email proposal to signal@qualityland.lt; attendance_value: 300 attendees advertised | 300; verified_at: 2026-09-05T00:24:00-06:00 | 2026-09-04T23:00:00-06:00",https://qualityland.lt/
105,2.885,conference/event,TestBash / Ministry of Testing,Continuous Call for Contributions,hybrid,hybrid,,rolling,,benchmarks,Stop Looking at My Benchmarks,,"Exact practitioner testing audience, rolling intake, practical format, and unusually clear travel/fee terms",92.0,94.0,86.5,1.54,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Public organizer/platform signal of at least 350.,3,Open or rolling route without a confirmed actionable deadline.,Continuous contribution proposal,Submit only after choosing online versus in-person contribution and checking current rights,"No specific edition or response timeline; online talk may require pre-recording | Next matching edition/date, current review cadence, rights, and accessibility details unknown",https://www.ministryoftesting.com/software-testing-glossary/call-for-papers
106,2.89,conference/event,Optimizers Conference,Optimizers Conference West 2027,"Santa Cruz, United States",in-person,2027-03-03,attendee-led,,product-engineering,The Future of Product Engineering,judgment,Near-perfect experimentation/learning-loop audience; speaking route is attendee-led rather than a selected conference talk.,81.0,100.0,81.0,1.76,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,4,"Announced, undated, or route status still needs confirmation.","Purchase/hold attendee place, then shape sessions in event app; not a guaranteed curated stage slot.",Keep in a separate paid-attendee category until budget and travel preferences are supplied.,"Requires a paid ticket (USD 1595 at first available tier); no guaranteed stage; willingness to pay and travel unknown. | Travel, exact unconference format, selection/voting mechanics, recording and whether speakers receive any refund unknown.",https://optimizersconference.com/
107,2.895,community/meetup,PyData London monthly meetup,Overseas from March 2027,"London, UK; in person",in-person,,public form/contact route,,retrieval,From RAGs to Retrievals,,"RT, BM, AS, FI, PA; possibly JU with executable evidence",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Public organizer/platform signal of at least 250.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Standing talk proposal/contact route; 25-minute talk plus five-minute Q&A or five-minute lightning talk,Review the public route and decide whether to prepare the indicated talk or demo format.,"Python/data relevance must be concrete; strict no-product-pitch rule; speakers are unpaid and travel support is not stated. submission format, recurrence and demand",https://london.pydata.org/submit-a-talk/
108,2.9,conference/event,IEEE International Conference on Software Architecture,ICSA 2027 Working Sessions,"Sydney, Australia",in-person,2027-03-08,open,2026-10-02,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Strong theme fit but this is a collaborative working-session format, not the existing talk.",77.0,78.0,60.1,2.6,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,2,Confirmed deadline in 27 days.,"Outline topic, why industry and academia should work on it, facilitator names, and proposed deliverable",Do not treat as deck-ready; pursue only if collaborators and a workshop deliverable are identified by September 15.,Likely needs co-facilitators and a concrete public deliverable; 90-180 minutes. | Requires substantial format conversion and likely co-facilitation; economics and rights unknown.,https://conf.researchr.org/track/icsa-2027/icsa-2027-working-sessions
109,2.9,conference/event,Incontro DevOps Italia,Incontro DevOps Italia 2027,"Bologna, Italy",hybrid,2027-03-09,open,2026-12-13,parallelization,Rethinking Parallelization in the Agentic Era,failure-improvement,Exact 40-minute format and strong DevOps/platform audience; prior AIOps and agent-tooling sessions support appetite.,85.0,100.0,85.0,1.6,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Confirmed deadline in 99 days.,"Abstract, language, speaker profile and session details.",Submit the existing 40-minute English version by December 13 after checking language expectations.,"Most attendees are Italian; travel reimbursement depends on unknown origin. | Travel origin and eligibility for reimbursement, rights, accessibility and attendance unknown.",https://sessionize.com/incontro-devops-italia-idi-2027/
110,2.905,conference/event,Fort Wayne Teaching and Learning Conference,Fort Wayne Teaching and Learning Conference 2027,"Fort Wayne, United States",in-person,,announced-not-open,,evidence-learning,"Outsmart Your Lying, Cheating Students",,Small regional teaching conference explicitly lists assessing student learning and says its 2027 CFP will open in October.,79.0,69.0,54.5,2.82,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Open or rolling route without a confirmed actionable deadline.,2027 submission details pending,Recheck in October; verify external eligibility and exact event date before preparing the 45-minute proposal.,"Regional/community opportunity; date, external-speaker eligibility, and costs unknown | Event date, opening/deadline, external-speaker eligibility, economics, rights, and accessibility unknown.",https://www.pfw.edu/faculty-support/teaching-and-learning-conference
111,2.928,conference/event,Ohio State Learning Design Day,Ohio State Learning Design Day 2027,"Columbus, USA",in-person,2027-05-13,open,2026-11-15,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Tracks explicitly include generative AI, assessment/evaluation, reflective learning, and research-informed teaching",81.0,83.0,67.2,2.31,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 71 days.,Abstract max 500 words; 50-word description; 1-3 objectives; max two facilitators; accessibility integrated into materials,Verify external eligibility via public documentation or organizer response only if outreach is later authorized; do not submit until resolved,"Inaugural, at least eight slots; external-speaker eligibility unclear; accessible deliverables mandatory | External eligibility, registration, compensation, travel, rights, and attendance unknown",https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/
112,2.935,conference/event,Platform Engineering Day Europe,Platform Engineering Day Europe 2027,"Barcelona, Spain",in-person,2027-03-15,open,2026-10-18,retrieval,From RAGs to Retrievals,adaptive-systems,Platform Engineering Day explicitly covers agentic platforms and AI integration for platform teams.,85.0,84.0,71.4,2.14,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,2,Confirmed deadline in 43 days.,Platform engineering and AI is explicit; practical case studies favored,Use AI Day as primary for retrieval thesis and Platform Day only as backup if multiple submissions are permitted.,"Shares CFP system/date with AI Day; a single proposal strategy should pick the better track; 25-minute adaptation needed | Topic fit depends on foregrounding planner/platform controls; travel/hotel/honorarium unknown. | Travel, hotel, honorarium, detailed form fields, reuse rules | MERGE CONFLICTS/VARIANTS — cfp_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cncf-hosted-co-located-events-overview/ | https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/; guidelines_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/ | https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/; eligibility: Public CFP; code-of-conduct agreement | unknown; formats_and_durations: 25-minute solo/dual presentation; 10-minute lightning; 35-minute panel | 25-minute presentation; 10-minute lightning; 35-minute panel; submission_requirements: Platform engineering and AI is explicit; practical case studies favored | Vendor-neutral; repeat restrictions; recording sample requested; compensation: Complimentary all-access pass | unknown; speaker_costs: Accepted co-located-event speakers receive an all-access pass | No mandatory registration stated for accepted speakers; recording_rights: Recorded and posted to CNCF YouTube; exact license not stated | recorded and published on CNCF YouTube; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cncf-hosted-co-located-events-overview/
