event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-teaching-and-learning-with-ai-conference,Teaching and Learning with AI Conference,University of Central Florida Faculty Center for Teaching and Learning; Division of Digital Learning; UCF Libraries,university-hosted conference; conference,https://aiforall.ucf.edu/teachwithai/,https://aiforall.ucf.edu/teachwithai/; mailto:teachwithai@ucf.edu,"Higher-education faculty, faculty-support staff, librarians, administrators, researchers, and policymakers | Higher-education professionals, researchers, policymakers, faculty, librarians, and instructional designers",Fifth annual edition in 2027; 2024 program included authentic assessment and AI-supported assessment sessions. | Fifth annual edition in 2027; practitioner-sharing conference focused on AI in higher-education classrooms. | MERGE NOTES — Organizer variants: University of Central Florida Faculty Center / Division of Digital Learning / Libraries,src-evidence-learning-src-ucf-2027;src-evidence-learning-src-ucf-2024-authentic;src-evidence-learning-src-ucf-2024-assessment;src-skeptic-education-ev-019;src-skeptic-education-ev-020;src-skeptic-education-ev-071;src-skeptic-education-ev-072
evt-teaching-professor-conference,Teaching Professor Conference,Magna Publications,conference,https://www.magnapubs.com/teaching-professor-conference-2027/,https://www.magnapubs.com/teaching-professor-conference/call-for-proposals/,"Higher-education faculty, centers for teaching and learning, department chairs, and academic leadership teams",Twenty-fourth annual event in 2027; focused on practical evidence-based college teaching.,src-skeptic-education-ev-036;src-skeptic-education-ev-037
evt-testbash-ministry-of-testing,TestBash / Ministry of Testing,Ministry of Testing,community conference series,https://www.ministryoftesting.com/events,https://www.ministryoftesting.com/contact,"Software testers, quality engineers, and developers",Long-running community series using a continuous contribution intake.,src-benchmarks-ev-testbash
evt-testcon-europe,TestCon Europe,Software Development Academy / TestCon,conference,https://testcon.lt/,https://testcon.lt/contacts/,"European software testers, QA engineers, and test leaders",Recurring Vilnius testing conference; current 2027 CFP was not verified.,src-benchmarks-ev-testcon
evt-testing-united,Testing United,Testing United,regional conference,https://testingunited.com/,https://testingunited.com/contact/,Central European testing and quality practitioners,Recurring regional testing conference; current future intake not verified.,src-benchmarks-ev-testingunited
evt-text-retrieval-conference,Text REtrieval Conference,National Institute of Standards and Technology,evaluation workshop,https://trec.nist.gov/,https://trec.nist.gov/cfp.html,Information-retrieval and NLP researchers and evaluation teams,NIST has run TREC for more than three decades; 2026 includes RAG and multilingual RAG evaluation tracks.,src-retrieval-src-trec-home;src-retrieval-src-trec-cfp
evt-think-ai-summit,Think!AI Summit,Pittsburgh Technology Council,regional industry summit,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,"AI practitioners, enterprise leaders, technologists, and regional innovation community | AI practitioners, enterprise leaders, and the Pittsburgh technology community",Official page describes 2027 as the 13th year. | Official page describes 2027 as the thirteenth year.,src-adaptive-systems-ev-thinkai-current;src-benchmarks-ev-thinkai
evt-tokenomicon-finops-x,Tokenomicon + FinOps X,FinOps Foundation and Tokenomics Foundation,FinOps conference,https://www.tokenomicon.com/,https://www.tokenomicon.com/,"FinOps practitioners, engineering and finance leaders, and teams managing AI and technology spend",FinOps X becomes a co-conference with Tokenomicon in 2027; prior FinOps X calls explicitly covered AI token costs and unit economics.,src-free-tier-src-tokenomicon-home;src-free-tier-src-finopsx-guide;src-free-tier-src-finopsx-2027
evt-tokenomicon-amsterdam,Tokenomicon Amsterdam,Tokenomics Foundation,regional FinOps conference,https://www.tokenomicon.com/amsterdam,https://www.tokenomicon.com/amsterdam,Practitioners working on AI token economics and FinOps,First smaller Tokenomicon edition announced for September 2026; public CFP was not verified on an official page at final check.,src-free-tier-src-tokenomics-events;src-free-tier-src-finops-tokenomicon-news
evt-tokenomicon-london,Tokenomicon London,Tokenomics Foundation,regional FinOps conference,https://www.tokeneconomics.com/,https://www.tokeneconomics.com/,"Practitioners working on token allocation, forecasting, optimization, cost-to-serve, and cost per call",London edition announced for February 2027; current public speaker route not found.,src-free-tier-src-tokenomics-events;src-free-tier-src-finops-tokenomicon-news
evt-training-conference-and-expo,Training Conference and Expo,Training magazine / Lakewood Media Group,conference,https://www.trainingconference.com/2027/,https://www.trainingconference.com/2027/faqs.cfm,"Workplace training leaders, instructional designers, facilitators, talent-development managers, and content developers",Fiftieth annual event in 2027; practical workplace performance and training focus.,src-skeptic-education-ev-050;src-skeptic-education-ev-051
evt-upcea-digital-teaching-and-learning-conference,UPCEA Digital Teaching & Learning Conference,UPCEA,virtual practitioner conference; virtual conference,https://conferences.upcea.edu/,https://conferences.upcea.edu/DTL2027/proposals.html,"Instructional designers, faculty, academic technologists, researchers, and digital-learning leaders | Instructional designers, faculty developers, faculty, academic technologists, digital-learning leaders, and higher-education innovators",Recurring virtual conference; 2026 program contains multiple AI-and-assessment sessions. | More than four decades of predecessor history; reimagined as a virtual community-driven event. | MERGE NOTES — Series URL aliases: https://conferences.upcea.edu/DTL2027/ | https://conferences.upcea.edu/,src-evidence-learning-src-dtl-cfp;src-evidence-learning-src-dtl-2026-program;src-skeptic-education-ev-003;src-skeptic-education-ev-004;src-skeptic-education-ev-063;src-skeptic-education-ev-064
evt-usdla-national-conference,USDLA National Conference,United States Distance Learning Association,hybrid practitioner conference; conference,https://usdla.org/events/national-conference/,https://usdla.org/events/call-for-proposals/,"Higher education, K-12, corporate, government, military, and telehealth distance-learning practitioners | Higher education, K-12, corporate training, telehealth, government, military, instructional design, and distance-learning professionals",40th anniversary edition in 2027; 2026 program included assessment validity and AI-rich assessment design. | National distance-learning conference; 2027 is billed as USDLA's 40th anniversary.,src-evidence-learning-src-usdla-cfp;src-evidence-learning-src-usdla-2026-program;src-skeptic-education-ev-010;src-skeptic-education-ev-011;src-skeptic-education-ev-065;src-skeptic-education-ev-066
evt-uxdx,UXDX,UXDX,cross-functional conference and community series,https://uxdx.com/,https://uxdx.com/contact/,Product; research; design; engineering leaders and practitioners,Recurring US/European conferences plus always-open local and online stages.,src-judgment-ev-ju-uxdx-past1;src-judgment-ev-ju-uxdx-past2;src-product-engineering-ev-pe-uxdx-past1;src-product-engineering-ev-pe-uxdx-past2
evt-visual-studio-live,Visual Studio Live!,1105 Media,conference,https://vslive.com/,https://vslive.com/events/austin-2027/information/contact-us.aspx,Microsoft-stack developers; architects; DevOps and AI engineers,Long-running multi-city developer conference series.,src-failure-improvement-ev-fi-vsl-past1;src-failure-improvement-ev-fi-vsl-past2;src-parallelization-ev-pa-vsl-past1;src-parallelization-ev-pa-vsl-past2
evt-voxxed-days-luxembourg,Voxxed Days Luxembourg,Voxxed Days Luxembourg organizers,regional developer conference,https://luxembourg.voxxeddays.com/en/,https://luxembourg.voxxeddays.com/en/,"Software developers across architecture, cloud, AI, big data, security, and programming languages",Devoxx-family event with more than 70 talks and a recurring CFP.,src-retrieval-src-voxxed-lux
evt-wscuc-accreditation-resource-conference,WSCUC Accreditation Resource Conference,WASC Senior College and University Commission,accreditation conference,https://www.wscuc.org/arc2027/,https://www.wscuc.org/arc2027cfp/,"Higher-education leaders and professionals in accreditation, assessment, and institutional effectiveness","Recurring annual conference; 2026 tracks covered assessment, quality assurance, and AI-aligned institutional values.",src-evidence-learning-src-wscuc-cfp;src-evidence-learning-src-wscuc-2026;src-evidence-learning-src-wscuc-authentic
